 i psi fs1(2) fs(4) fs1(4) -fs1(1)
   0 0.100000E-03 -.536958E-01 0.190008E+01 0.746840E+00 0.108571E-10
   1 0.250574E-03 -.536958E-01 0.190019E+01 0.763244E+00 -.423530E-11
   2 0.702206E-03 -.536958E-01 0.190055E+01 0.781972E+00 0.131254E-11
   3 0.145462E-02 -.536958E-01 0.190113E+01 0.775030E+00 0.575228E-13
   4 0.250737E-02 -.536958E-01 0.190195E+01 0.778158E+00 0.418560E-12
   5 0.385982E-02 -.536958E-01 0.190300E+01 0.778302E+00 -.705048E-12
   6 0.551115E-02 -.536958E-01 0.190429E+01 0.779649E+00 0.215203E-12
   7 0.746037E-02 -.536958E-01 0.190581E+01 0.780889E+00 -.106220E-12
   8 0.970630E-02 -.536958E-01 0.190756E+01 0.782416E+00 0.209256E-12
   9 0.122476E-01 -.536958E-01 0.190955E+01 0.784111E+00 0.276621E-12
  10 0.150827E-01 -.536958E-01 0.191178E+01 0.786069E+00 -.234180E-12
  11 0.182100E-01 -.536958E-01 0.191424E+01 0.788160E+00 -.172185E-12
  12 0.216275E-01 -.536958E-01 0.191694E+01 0.790517E+00 0.454994E-13
  13 0.253331E-01 -.536958E-01 0.191987E+01 0.793038E+00 -.296643E-14
  14 0.293248E-01 -.536958E-01 0.192304E+01 0.795816E+00 -.366868E-13
  15 0.335999E-01 -.536958E-01 0.192645E+01 0.798762E+00 0.155137E-12
  16 0.381560E-01 -.536958E-01 0.193010E+01 0.801951E+00 -.170157E-13
  17 0.429904E-01 -.536958E-01 0.193398E+01 0.805328E+00 -.250987E-13
  18 0.481001E-01 -.536958E-01 0.193811E+01 0.808945E+00 0.601525E-13
  19 0.534820E-01 -.536958E-01 0.194247E+01 0.812776E+00 -.166423E-12
  20 0.591329E-01 -.536958E-01 0.194708E+01 0.816823E+00 0.993327E-13
  21 0.650494E-01 -.536958E-01 0.195192E+01 0.821097E+00 -.232423E-12
  22 0.712279E-01 -.536958E-01 0.195701E+01 0.825593E+00 -.159701E-13
  23 0.776647E-01 -.536958E-01 0.196234E+01 0.830317E+00 0.236684E-12
