
   ising   psi         q          di      re alpha   im alpha

     1  7.971E-01  2.000E+00 -2.667E-01  5.165E-01 -0.000E+00


   is    psifac      dpsi        q       singfac     eval1

    0  1.000E-02  1.000E-02  1.052E+00  9.478E-01  0.000E+00
    1  1.001E-02  7.481E-06  1.052E+00  9.478E-01  9.562E-04
    2  1.001E-02  7.377E-07  1.052E+00  9.478E-01  1.050E-03
    3  1.001E-02  7.377E-07  1.052E+00  9.478E-01  1.145E-03
    4  1.001E-02  1.475E-06  1.052E+00  9.478E-01  1.333E-03
    5  1.001E-02  1.475E-06  1.052E+00  9.478E-01  1.522E-03
    6  1.001E-02  1.475E-06  1.052E+00  9.478E-01  1.711E-03
    7  1.003E-02  1.447E-05  1.052E+00  9.478E-01  3.560E-03
    8  1.004E-02  1.447E-05  1.052E+00  9.478E-01  5.409E-03
    9  1.006E-02  1.447E-05  1.052E+00  9.477E-01  7.258E-03
   10  1.011E-02  5.366E-05  1.052E+00  9.477E-01  1.412E-02
   11  1.016E-02  5.366E-05  1.052E+00  9.477E-01  2.097E-02
   12  1.022E-02  5.366E-05  1.052E+00  9.477E-01  2.783E-02
   13  1.027E-02  5.366E-05  1.052E+00  9.477E-01  3.469E-02
   14  1.037E-02  9.470E-05  1.052E+00  9.477E-01  4.679E-02
   15  1.046E-02  9.470E-05  1.052E+00  9.477E-01  5.889E-02
   16  1.056E-02  9.470E-05  1.052E+00  9.476E-01  7.099E-02
   17  1.065E-02  9.470E-05  1.052E+00  9.476E-01  8.308E-02
   18  1.084E-02  1.905E-04  1.052E+00  9.476E-01  1.074E-01
   19  1.103E-02  1.905E-04  1.052E+00  9.475E-01  1.317E-01
   20  1.122E-02  1.905E-04  1.053E+00  9.475E-01  1.561E-01
   21  1.141E-02  1.905E-04  1.053E+00  9.475E-01  1.804E-01
   22  1.160E-02  1.905E-04  1.053E+00  9.474E-01  2.047E-01
   23  1.184E-02  2.340E-04  1.053E+00  9.474E-01  2.345E-01
   24  1.207E-02  2.340E-04  1.053E+00  9.473E-01  2.644E-01
   25  1.230E-02  2.340E-04  1.053E+00  9.473E-01  2.942E-01
   26  1.254E-02  2.340E-04  1.053E+00  9.472E-01  3.240E-01
   27  1.277E-02  2.340E-04  1.053E+00  9.472E-01  3.539E-01
   28  1.301E-02  2.340E-04  1.053E+00  9.471E-01  3.837E-01
   29  1.324E-02  2.340E-04  1.053E+00  9.471E-01  4.135E-01
   30  1.347E-02  2.340E-04  1.053E+00  9.470E-01  4.433E-01
   31  1.371E-02  2.340E-04  1.053E+00  9.470E-01  4.731E-01
   32  1.394E-02  2.340E-04  1.053E+00  9.469E-01  5.029E-01
   33  1.418E-02  2.340E-04  1.053E+00  9.469E-01  5.327E-01
   34  1.443E-02  2.575E-04  1.053E+00  9.468E-01  5.654E-01
   35  1.469E-02  2.575E-04  1.053E+00  9.468E-01  5.982E-01
   36  1.495E-02  2.575E-04  1.053E+00  9.467E-01  6.309E-01
   37  1.521E-02  2.575E-04  1.053E+00  9.467E-01  6.636E-01
   38  1.546E-02  2.575E-04  1.053E+00  9.466E-01  6.964E-01
   39  1.572E-02  2.575E-04  1.053E+00  9.465E-01  7.291E-01
   40  1.598E-02  2.575E-04  1.054E+00  9.465E-01  7.618E-01
   41  1.624E-02  2.575E-04  1.054E+00  9.464E-01  7.945E-01
   42  1.652E-02  2.860E-04  1.054E+00  9.464E-01  8.308E-01
   43  1.681E-02  2.860E-04  1.054E+00  9.463E-01  8.671E-01
   44  1.709E-02  2.860E-04  1.054E+00  9.462E-01  9.034E-01
