              psi   m1   m2         real(Ai)         imag(Ai)         real(Bi)         imag(Bi)         real(Ci)         imag(Ci)         real(Di)         imag(Di)         real(Ei)         imag(Ei)         real(Hi)         imag(Hi)
   9.99999978E-03   -4   -4   1.53034448E+03   0.00000000E+00   0.00000000E+00   5.46683289E+02   1.31073630E+00   2.68199585E+02   1.97254883E+02   0.00000000E+00   3.25231247E+01  -4.98163968E-01   7.94882031E+04   0.00000000E+00
   9.99999978E-03   -4   -3   7.95266571E+01   8.21601774E-04  -1.79691793E-04   6.20876265E+00  -1.61386728E-01  -4.49731641E+03  -8.49028587E+00   3.04707210E-05  -2.15340771E+03   1.22419536E-01  -1.32670276E+03  -1.09824486E+01
   9.99999978E-03   -4   -2   6.53283000E-01  -5.93868790E-05   5.27763623E-05  -2.87145585E-01   5.43229543E-02  -1.04547943E+02   3.93550515E-01  -1.92076070E-04   9.99627380E+01  -5.08461222E-02  -1.75877617E+04  -7.14816928E-01
   9.99999978E-03   -4   -1  -1.32050300E-02  -1.47257384E-03   6.29312708E-05   1.43852634E-02  -8.52921084E-02   3.77276540E+00  -1.85435154E-02   1.09118177E-03  -5.01378870E+00   1.27484947E-01   5.25369446E+02  -1.05634308E+00
   9.99999978E-03   -4    0   2.42494815E-03   4.96316585E-04  -2.04345299E-04   1.94436710E-04  -1.39783481E-02  -1.49472788E-01  -1.18730927E-03  -5.26981079E-04   1.96781352E-01  -2.24918462E-02  -1.05999422E+01   5.51852226E-01
   9.99999978E-03   -4    1   3.26090754E-04   4.12505615E-04  -3.32525058E-04   3.22039967E-04   2.48988830E-02  -2.87849107E-03  -4.51125059E-04  -4.67361184E-04   2.82145105E-03   3.56667414E-02   3.52541767E-02   5.01533598E-03
   9.99999978E-03   -4    2  -1.06569054E-03   2.15151231E-04  -1.76715839E-04  -8.34397390E-04   2.11251341E-02   1.25824526E-01   7.19141332E-04  -1.44953825E-04  -9.18405131E-02   1.64540112E-02  -5.11345685E-01  -3.15250069E-01
   9.99999978E-03   -4    3  -2.04464101E-04   6.27206609E-05  -2.91938573E-04   9.86074912E-04  -4.84599583E-02   9.17024761E-02  -7.84339441E-04  -2.12040293E-04  -4.83552590E-02  -2.15011407E-02   4.25852448E-01  -2.97798011E-02
   9.99999978E-03   -4    4  -1.56646129E-03   9.75607254E-05   5.89437317E-04  -8.91860924E-04   1.94737893E-02   2.31909677E-02   4.19167744E-04   3.45013686E-04  -1.23969056E-02   9.64546204E-03   1.88307822E-01   8.88301134E-01
   9.99999978E-03   -3   -4   7.95266571E+01  -8.21601774E-04   2.29535581E-04   6.20847368E+00  -1.78978458E-01   4.82020264E+03  -8.49028587E+00  -3.04707210E-05   1.72717847E+03   9.81619954E-02  -1.32670276E+03   1.09824486E+01
   9.99999978E-03   -3   -3   8.61666626E+02   0.00000000E+00   0.00000000E+00   4.09920258E+02   7.85368264E-01   2.10405807E+02   1.97254883E+02   0.00000000E+00   3.25231247E+01  -3.99561197E-01   5.11415352E+04   0.00000000E+00
   9.99999978E-03   -3   -2   4.62471695E+01   4.44330421E-04  -1.29848020E-04   6.20905113E+00  -7.97844902E-02  -2.40449805E+03  -8.49028587E+00   3.04707210E-05  -1.72717871E+03   9.81916860E-02  -8.36365417E+02  -6.63343859E+00
   9.99999978E-03   -3   -1   4.49012041E-01   9.30939791E-07  -1.05425115E-05  -2.87376106E-01   1.95228085E-02  -7.55909119E+01   3.93550515E-01  -1.92076070E-04   8.01768951E+01  -4.07857634E-02  -9.48540918E+03  -3.87120724E-01
   9.99999978E-03   -3    0  -1.19107310E-02  -8.33830738E-04   4.21163975E-04   1.39846085E-02   1.38351624E-03   2.98471737E+00  -1.85435154E-02   1.09118177E-03  -4.02137423E+00   1.02272674E-01   2.16058624E+02  -4.25352544E-01
   9.99999978E-03   -3    1   1.29569834E-03   2.35150306E-04  -3.76452925E-04   8.34961247E-04  -1.31037179E-02  -1.15633816E-01  -1.18730927E-03  -5.26981079E-04   1.57794192E-01  -1.80501286E-02  -4.23218191E-01   2.14393903E-02
   9.99999978E-03   -3    2   8.39889326E-05   1.97956848E-04  -5.10776707E-04   4.73674241E-04   3.82103771E-02   1.02100549E-02  -4.51125059E-04  -4.67361184E-04   2.25405488E-03   2.85966322E-02  -5.84609151E-01   3.13203558E-02
   9.99999978E-03   -3    3  -8.96688027E-04   1.50625565E-04  -2.51306104E-04  -1.15979963E-03   2.46318597E-02   1.50528893E-01   7.19141332E-04  -1.44953825E-04  -7.36431256E-02   1.31928325E-02  -8.28677118E-01  -5.21838367E-01
   9.99999978E-03   -3    4  -5.70991950E-04  -3.65024534E-05  -3.62197898E-04   1.19780248E-03  -5.23508266E-02   9.67539772E-02  -7.84339441E-04  -2.12040293E-04  -3.87966707E-02  -1.72495116E-02   5.19476235E-01  -3.46651934E-02
